驱动骨骼名称,驱动轴,驱动角度,被驱动骨骼名称,translate,rotate,scale
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing5,"(1.4210854715202004e-14, 8.881784197001252e-16, 0.0)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing4,"(-0.13452118551298753, -3.644450000691231, -5.867367462997208e-06)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing2,"(1.4210854715202004e-14, 0.0, 1.1368683772161603e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing6,"(-0.11289650015805108, -3.058600483093617, -3.1490830565417127e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing7,"(0.09500728815815052, 2.5739446045825414, 2.6500885041969013e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing1,"(0.12575801192692282, -3.6213668026016537, 3.694822225952521e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,175.897216796875,Left_Elbow_xiuxing3,"(-0.12283871819509429, 3.537301912854071, -8.242295734817162e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing5,"(5.418167754210306e-15, 3.386354846381441e-16, 0.0)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 2.2374606787846134)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing4,"(-4.163336342344337e-16, -12.0, -5.86736742362775e-06)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing2,"(5.418167754210306e-15, 0.0, 4.334534203368245e-14)","(0.0, 0.0, 0.0)","(1.0, 1.0, 2.2374606787846134)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing6,"(-0.11289650015804942, -14.440230184705241, -3.149082824688054e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing7,"(0.09500728815815052, 4.395791939121105, 2.6500885041969013e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing1,"(6.934716990269399, -6.853713098383469, 3.694822225952521e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,85.89720916748047,Left_Elbow_xiuxing3,"(-3.96572894048092, 4.328237928021695, -7.717755861651482e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing5,"(0.0, 0.0, 0.0)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 3.0)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing4,"(-0.13452118551300174, -3.644450000691232, -5.867367462997208e-06)","(-2.8405640462768814e-19, 6.0807919215187596e-15, 6.95750582778849e-15)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing2,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(1.0, 1.0, 3.0)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing6,"(-0.11289650015804839, -21.45373803653932, -3.149082681816822e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing7,"(0.09500728815815052, 5.518437897618588, 2.6500885041969013e-07)","(-5.150881517290195e-16, -6.954153648133637e-15, -3.1805672260299305e-15)","(1.0000000000000009, 1.0000000000000002, 0.9999999999999999)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing1,"(11.130485830882712, -8.845526812205357, 3.694822225952521e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
Left_Elbow_JNT,angle,30.602659225463867,Left_Elbow_xiuxing3,"(-6.33376774110379, 4.815622959700507, -7.394527588065441e-13)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
